,D_Emis_transport,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
CO '97-98,2,2,2,2
CT '97-98,2,0,0,0
DC '97-98,0,0,0,2
DE '97-98,1,0,0,2
FL '97-98,2,0,0,2
GA '97-98,2,0,0,2
HI '97-98,0,0,2,2
IA '97-98,2,2,0,2
ID '97-98,2,2,2,2
IL '97-98,2,0,0,0
IN '97-98,2,2,0,0
KS '97-98,2,0,0,2
KY '97-98,1,0,0,2
LA '97-98,0,0,0,0
MA '97-98,1,0,0,2
MD '97-98,2,2,0,2
ME '97-98,0,0,0,0
MI '97-98,2,2,0,2
MN '97-98,2,2,0,0
MO '97-98,2,2,0,2
MS '97-98,2,0,0,2
MT '97-98,1,2,0,0
NC '97-98,2,0,0,2
ND '97-98,0,2,0,0
NE '97-98,2,2,0,2
NH '97-98,2,0,0,2
NJ '97-98,2,0,0,0
NM '97-98,1,2,0,2
NV '97-98,2,2,2,2
NY '97-98,2,2,0,2
OH '97-98,2,2,0,0
OK '97-98,2,0,2,2
OR '97-98,2,2,2,2
PA '97-98,2,0,0,2
RI '97-98,0,0,2,0
SC '97-98,2,2,2,2
SD '97-98,2,0,0,0
TN '97-98,2,0,0,2
TX '97-98,2,0,2,2
UT '97-98,2,2,2,2
VA '97-98,2,2,2,2
VT '97-98,1,0,0,0
WI '97-98,2,0,0,2
WV '97-98,0,2,0,2
WY '97-98,2,2,2,0
AK '98-99,2,0,0,2
AL '98-99,2,2,2,2
AR '98-99,2,2,0,2
AZ '98-99,2,2,2,2
CA '98-99,2,2,0,2
CO '98-99,2,0,2,2
CT '98-99,2,0,2,2
DC '98-99,1,0,2,0
DE '98-99,2,0,2,2
FL '98-99,2,0,2,2
GA '98-99,2,2,0,2
HI '98-99,2,0,2,0
IA '98-99,0,2,2,2
ID '98-99,2,0,2,2
