,D_Emis,D_Coal_Cons,D_NatGas_Cons,D_Petrol_Cons
RI '01-02,0,2,0,0
SC '01-02,2,0,2,0
SD '01-02,2,0,2,2
TN '01-02,0,0,0,2
TX '01-02,2,2,2,2
UT '01-02,0,0,2,0
VA '01-02,0,0,2,0
VT '01-02,0,0,2,0
WI '01-02,2,0,2,0
WV '01-02,0,2,2,2
WY '01-02,2,0,2,0
AK '02-03,2,0,0,2
AL '02-03,2,2,0,0
AR '02-03,2,0,2,2
AZ '02-03,2,2,2,2
CA '02-03,0,0,0,0
CO '02-03,0,2,0,2
CT '02-03,2,2,0,2
DC '02-03,0,2,2,0
DE '02-03,2,2,0,2
FL '02-03,2,2,2,2
GA '02-03,2,2,0,2
HI '02-03,2,2,0,2
IA '02-03,0,2,2,0
ID '02-03,0,2,0,0
IL '02-03,2,2,0,2
IN '02-03,2,2,2,2
KS '02-03,2,0,0,2
KY '02-03,0,0,0,0
LA '02-03,0,2,0,0
MA '02-03,2,0,2,2
MD '02-03,2,2,2,2
ME '02-03,0,0,0,2
MI '02-03,0,2,0,0
MN '02-03,2,2,2,2
MO '02-03,2,2,0,2
MS '02-03,2,2,0,2
MT '02-03,2,2,0,0
NC '02-03,2,2,0,2
ND '02-03,0,0,0,0
NE '02-03,2,2,0,2
NH '02-03,2,2,2,2
NJ '02-03,2,2,2,0
NM '02-03,2,2,0,2
NV '02-03,2,2,2,2
NY '02-03,2,2,0,2
OH '02-03,2,2,2,2
OK '02-03,2,2,2,0
OR '02-03,2,2,2,0
PA '02-03,2,2,2,2
RI '02-03,0,2,0,2
SC '02-03,2,2,0,2
SD '02-03,0,2,2,0
TN '02-03,0,0,2,2
TX '02-03,0,2,0,2
UT '02-03,2,2,0,2
VA '02-03,2,0,2,2
VT '02-03,2,1,2,2
WI '02-03,0,0,2,0
WV '02-03,2,0,0,0
WY '02-03,0,2,2,2
AK '03-04,2,2,0,2
AL '03-04,2,0,2,2
AR '03-04,2,2,0,2
AZ '03-04,2,2,2,2
CA '03-04,2,0,2,2
CO '03-04,2,0,2,2
CT '03-04,2,2,2,2
DC '03-04,2,2,0,2
DE '03-04,2,2,2,0
FL '03-04,2,0,2,2
GA '03-04,2,2,2,2
HI '03-04,2,0,2,2
IA '03-04,2,0,0,2
ID '03-04,2,2,2,2
IL '03-04,2,2,0,2
IN '03-04,2,2,0,0
KS '03-04,0,0,0,0
KY '03-04,2,2,2,2
LA '03-04,2,2,2,2
MA '03-04,0,0,0,2
MD '03-04,2,0,0,2
ME '03-04,2,0,2,0
MI '03-04,2,2,0,2
MN '03-04,0,0,0,2
MO '03-04,2,2,2,2
MS '03-04,2,2,2,0
MT '03-04,2,2,0,2
NC '03-04,2,2,2,2
ND '03-04,0,0,0,2
NE '03-04,0,0,0,2
NH '03-04,2,2,2,2
NJ '03-04,2,2,2,2
NM '03-04,2,2,2,2
NV '03-04,2,2,2,2
NY '03-04,2,0,0,2
OH '03-04,0,0,0,0
OK '03-04,0,0,0,0
OR '03-04,2,0,2,2
PA '03-04,2,2,2,2
RI '03-04,0,0,0,0
SC '03-04,2,2,2,2
SD '03-04,2,2,0,2
TN '03-04,2,2,0,2
TX '03-04,0,2,0,2
UT '03-04,2,2,2,2
VA '03-04,2,0,2,2
VT '03-04,2,1,2,2
WI '03-04,0,2,0,2
WV '03-04,2,0,0,2
WY '03-04,2,2,0,0
AK '04-05,2,0,2,0
AL '04-05,2,2,0,0
AR '04-05,0,0,0,0
AZ '04-05,2,2,0,2
CA '04-05,0,0,0,2
CO '04-05,2,0,2,0
CT '04-05,0,0,2,0
DC '04-05,0,2,2,0
DE '04-05,2,2,0,2
FL '04-05,2,0,2,2
GA '04-05,2,2,2,2
HI '04-05,2,0,0,2
IA '04-05,0,0,2,2
ID '04-05,2,0,0,2
IL '04-05,2,0,2,2
IN '04-05,0,0,2,0
KS '04-05,0,0,0,0
KY '04-05,2,2,2,0
LA '04-05,0,0,0,0
MA '04-05,2,2,2,2
MD '04-05,2,2,2,2
ME '04-05,0,0,0,2
MI '04-05,2,2,0,0
MN '04-05,2,2,2,2
MO '04-05,2,2,2,0
MS '04-05,0,0,2,0
MT '04-05,2,2,2,2
NC '04-05,2,2,2,2
ND '04-05,2,2,0,2
NE '04-05,2,2,2,0
NH '04-05,0,2,2,0
NJ '04-05,2,2,0,2
NM '04-05,2,2,0,0
NV '04-05,2,2,2,2
NY '04-05,0,0,0,0
OH '04-05,2,2,0,0
OK '04-05,2,2,2,2
OR '04-05,2,0,2,2
PA '04-05,2,2,0,2
RI '04-05,2,1,2,0
SC '04-05,0,0,2,0
SD '04-05,0,0,2,2
TN '04-05,2,2,0,2
TX '04-05,0,2,0,0
UT '04-05,2,2,2,2
VA '04-05,2,2,2,2
VT '04-05,0,1,0,0
WI '04-05,2,2,2,0
WV '04-05,2,2,0,2
WY '04-05,2,0,2,2
AK '05-06,0,2,0,2
AL '05-06,2,0,2,2
AR '05-06,2,2,2,2
AZ '05-06,2,2,2,2
CA '05-06,2,0,2,2
CO '05-06,2,2,0,2
CT '05-06,0,2,2,0
DC '05-06,0,0,0,0
DE '05-06,0,0,0,0
FL '05-06,0,2,2,0
GA '05-06,0,0,2,0
HI '05-06,2,0,2,2
IA '05-06,2,2,0,2
ID '05-06,2,0,2,2
IL '05-06,0,0,0,0
IN '05-06,0,0,0,2
KS '05-06,2,0,2,2
KY '05-06,2,2,0,2
LA '05-06,2,2,0,2
MA '05-06,0,0,0,0
MD '05-06,0,0,0,0
ME '05-06,0,0,2,0
MI '05-06,0,0,0,0
MN '05-06,0,0,0,0
MO '05-06,0,0,0,0
MS '05-06,2,2,2,2
MT '05-06,2,0,2,2
NC '05-06,0,0,0,0
ND '05-06,0,0,2,2
NE '05-06,2,0,2,2
NH '05-06,0,2,0,0
NJ '05-06,0,0,0,0
NM '05-06,2,0,2,2
NV '05-06,0,0,2,2
NY '05-06,0,0,2,0
OH '05-06,0,0,0,2
OK '05-06,2,0,2,2
OR '05-06,0,0,0,2
PA '05-06,0,2,0,0
RI '05-06,0,0,0,0
SC '05-06,2,2,2,2
SD '05-06,2,2,0,0
TN '05-06,2,2,0,2
TX '05-06,2,0,0,2
UT '05-06,2,0,2,2
VA '05-06,0,0,0,0
VT '05-06,0,2,0,0
WI '05-06,2,0,0,0
WV '05-06,0,0,2,2
WY '05-06,0,0,2,2
AK '06-07,0,0,0,0
AL '06-07,2,2,2,0
AR '06-07,2,2,0,2
AZ '06-07,2,2,2,0
CA '06-07,2,0,2,2
CO '06-07,2,0,2,2
CT '06-07,0,0,2,0
DC '06-07,2,2,2,0
DE '06-07,2,2,2,0
FL '06-07,0,2,2,0
GA '06-07,2,2,2,0
HI '06-07,2,2,2,2
IA '06-07,2,2,2,0
ID '06-07,2,2,2,0
IL '06-07,2,2,2,0
IN '06-07,0,0,2,0
KS '06-07,2,2,2,2
KY '06-07,2,0,2,0
LA '06-07,2,0,2,2
MA '06-07,2,2,2,0
MD '06-07,2,2,2,0
ME '06-07,0,0,0,0
MI '06-07,2,2,0,0
MN '06-07,2,0,2,0
MO '06-07,0,0,2,0
MS '06-07,2,0,2,0
MT '06-07,2,2,0,2
NC '06-07,2,2,2,2
ND '06-07,2,2,2,2
NE '06-07,2,0,2,2
